Front,Back,Note
Thunderstorm,Có dông,
Together,Chung mình,
To Deliver,Chuyển,
Closest/Recent,Gần đây,
To declare,Khai,
Already finished eating,Ăn xong rồi,
On the other side,Ở bên kia,
Passport,Hộ chiếu,
"million, the cool (northern) way",Củ,
Sell to me,Bán cho anh,
Electronics/Electronic devices,Đồ điện tử,
"Boring (person), or bad (food)",Chán,
How do you know/Why would you know?,Sao anh biết?,
Spoon,Thìa,
Everybody/Everyone,Mọi người,
Right now,Bây giờ,
We/Us (excluding listener/person being spoken to),Chúng anh,
We/Us (including the listener/person being spoken to),Chúng ta,
Sometimes,Thỉnh thoảng,
Do you need help?,Anh cần giúp khong?,
What book are you reading?,Anh đang đọc sách gì,
With,Với,
(to) Read,Đọc,
Also,Cũng,
Because,Vì,
Or,Hoặc,
Why,Tại sao,
But,Nhưng,
How are you / Are you well?,Anh có khỏe không?,
Have you eaten (yet)?,Anh ăn chưa?,
Sorry,Xin lỗi,
Police,Cảnh sát,
what do you do for work/profession?,Anh làm nghề gì?,
Who is this person?,Đây là ai?,
Where do you work?,Anh làm ở đâu?,
Hospital,Bệnh viện,
Tourism,Du lịch,
University,Đại học,
Where are you going?,Anh đi đâu đấy?,
Go home,Đi về nhà,
Water,Nước,
Juice,Nước ép,
I am American,Anh là người Mỹ,
What country are you from?,Anh là người nước nào?,
How old are you?,Anh bao nhiêu tuổi?,
How much/many,Bao nhiêu,
I am 21 years old,Anh hai mươi mốt tuổi,
Dad (northern),Bố,
Mom (nothern),Mẹ,
Grandfather (dad's side),Ông nội,
Grandfather (mom's side),Ông ngoại,
[your] younger brother,Em trai,
[your] younger sister,Em gái,
Walk around,dạo chơi,
Traditional,Truyền thống,
Tomorrow,(Ngày) mai,
Today,Hôm nay,
I can go to work at 8,Anh có thể đi về lúc tám giờ,
Tonight,Tối nay,
Tomorrow night,Tối mai,
This afternoon,Chiều nay,
Tomorrow afternoon,Chiều mai,
This morning,Sáng nay,
Tomorrow morning,Sáng mai,
(Take a) walk with you,Anh đi dạo với em,
What do you usually go to work with?,Anh thường đi làm bằng gì?,
Can you speak Vietnamese?,Anh có thể nói tiếng Việt không?,
I can speak a little Vietnamese,Anh nói tiếng Việt ít,
Can you eat coriander/cilantro?,Chị ăn rau mùi được không?,
Can I sit there?,Anh có thể ngồi dây được không ạ?,
I plan to leave/go home at 11,Anh định đi về lúc mười một giờ,
Next week I leave Hanoi,Tuần sau Anh rời Hà Nội,
I will visit Hue for two days,Anh sẽ thăm Huế hai ngày,
Last weekend,Cuối tuần trước,
This weekend,Cuối tuần,
Next weekend,Cuối tuần tới,
Last Sunday,Chủ Nhật trước,
Next Sunday,Chủ nhật tới,
This Sunday,Chủ nhật này,
History/Historical,Lịch sử,
Around,Quanh,
In,Trong,
Means/Has the meaning,có nghĩa,
